1;Teluk Betung Timur
2;Teluk Betung Timur
3;Bumiwaras
4;Teluk Betung Barat
5;Panjang
6;Teluk Betung Selatan
7;Teluk Betung Utara
8;Enggal
9;Tanjung Karang Pusat
10;Tanjung Karang Timur
11;Sukabumi
12;Kedamaian
13;Tanjung Karang Barat
14;Kedaton
15;Langkapura
16;Wayhalim
17;Kemiling
18;Sukarame
19;Labuanratu
20;Tanjung Senang
21;Rajabasa
